##########################################################################################################
# This comment is auto generated by data_analysis.py script from https://github.com/lazicdanilo/LPM01A-lib
# It is used for caching the already calculated data. This comment should not be modified.
# If removed it will be re-created on next run of the script.
#
# This will only be generated if the calculation is done for the
# whole CSV file (flags -s, --start and -e, --end are not used)
#
# Generated on: 03-03-2024_10:42:08
# Calculation time window: 4.717438 s (4717.437999999999 ms)
# Number of values: 4720
# Average current consumption: 7.347662577893055e-06 Ah (0.007347662577893055 mAh)
##########################################################################################################
Current (uA),rx timestamp (us),board timestamps (ms)
13.33,736380,282000
15.35,736789,282000
13.33,739005,282000
13.67,739413,282000
13.33,740379,282000
13.33,740885,282000
13.33,743181,282000
13.33,743636,282000
13.34,744392,282000
14.15,744831,282000
15.64,745797,282000
13.34,746229,282000
13.33,748390,282000
13.33,748799,282000
13.33,749754,282000
13.33,750165,282000
13.33,752437,282000
13.33,752872,282000
14.07,753763,282000
14.08,754174,282000
13.33,756383,282000
13.33,756793,282000
13.33,757757,282000
13.36,758168,282000
14.08,760378,282000
13.33,760790,282000
13.33,761754,282000
13.66,762163,282000
14.36,764380,282000
13.33,764816,282000
13.34,765757,282000
13.33,766168,282000
13.41,768378,282000
13.33,768789,282000
13.58,769754,282000
15.57,770164,282000
13.33,772383,282000
13.33,772795,282000
13.33,773756,282000
13.33,774165,282000
15.59,776382,282000
13.33,776791,282000
13.33,777753,282000
13.33,778165,282000
13.33,780378,282000
13.33,780788,282000
13.33,781753,282000
13.33,782162,282000
13.33,784381,282000
13.33,784812,282000
13.33,785760,282000
13.33,786170,282000
13.33,788378,282000
13.66,788787,282000
13.33,789756,282000
13.57,790166,282000
13.33,792379,282000
13.33,792790,282000
13.33,793755,282000
13.33,794165,282000
13.69,796390,282000
13.44,796804,282000
13.33,797754,282000
13.33,798163,282000
13.33,800379,282000
13.33,800788,282000
13.33,801756,282000
13.41,802168,282000
13.33,804381,282000
13.33,804814,282000
13.33,805756,282000
13.33,806166,282000
13.44,808378,282000
15.58,808787,282000
13.33,809755,282000
13.33,810164,282000
13.33,812378,282000
